Age,Motor skill label,Motor skill sequence,Infant ID,Early-mid gestation PreGC,Early-mid gestation FA,nPostGC,nPostnatal FA,Maternal protectiveness,Maternal rejectiveness,nSocial play (% of time),Growth rate,Sex of the offspring,Year of birth,,,
in days,,,,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,z-transformed,,,
87,MS19,19,ngo,-0.793,0.743,-0.258,-0.916,-0.131,0.116,2.011,-1.320,-1.075,-0.903,,,
98,MS19,19,pep,-0.665,-0.824,-1.323,1.725,-0.310,-0.344,1.966,1.737,-1.075,1.100,,,
99.5,MS19,19,sin,-1.048,1.565,-1.040,-0.887,0.481,1.203,2.393,-1.342,-1.075,-0.903,,,
101,MS19,19,aug,0.981,-0.940,-0.335,1.661,-0.491,2.160,1.995,1.527,-1.075,1.100,,,
141,MS19,19,kim,-0.444,-0.242,-0.322,-0.925,-0.594,0.545,1.419,-0.465,-1.075,-0.903,,,
17,MS2,2,oxy,-0.268,0.364,-0.254,-0.780,2.481,-1.492,-0.838,-0.395,-1.075,-0.903,,,
27.5,MS2,2,sin,-1.048,1.565,-0.844,-0.658,0.481,1.203,-0.838,-1.342,-1.075,-0.903,,,
17,MS3,3,oxy,-0.268,0.364,-0.254,-0.809,2.481,-1.492,-0.838,-0.395,-1.075,-0.903,,,
33.5,MS3,3,sin,-1.048,1.565,-0.778,-0.655,0.481,1.203,-0.838,-1.342,-1.075,-0.903,,,
39,MS3,3,pep,-0.665,-0.824,-0.982,1.381,-0.310,-0.344,-0.838,1.737,-1.075,1.100,,,
27.5,MS4,4,sin,-1.048,1.565,-0.740,-0.679,0.481,1.203,-0.838,-1.342,-1.075,-0.903,,,
47,MS4,4,pep,-0.665,-0.824,-0.982,1.394,-0.310,-0.344,-0.499,1.737,-1.075,1.100,,,
65,MS4,4,oxy,-0.268,0.364,-0.761,-0.885,2.481,-1.492,-0.517,-0.395,-1.075,-0.903,,,
33.5,MS5,5,sin,-1.048,1.565,-0.854,-0.698,0.481,1.203,-0.748,-1.342,-1.075,-0.903,,,
47,MS5,5,oxy,-0.268,0.364,-0.761,-0.906,2.481,-1.492,-0.517,-0.395,-1.075,-0.903,,,
64,MS5,5,pep,-0.665,-0.824,-1.133,1.412,-0.310,-0.344,-0.150,1.737,-1.075,1.100,,,
27.5,MS6,6,sin,-1.048,1.565,-0.854,-0.694,0.481,1.203,-0.748,-1.342,-1.075,-0.903,,,
65,MS6,6,pep,-0.665,-0.824,-1.097,1.408,-0.310,-0.344,-0.150,1.737,-1.075,1.100,,,
66,MS6,6,oxy,-0.268,0.364,-0.761,-0.902,2.481,-1.492,-0.517,-0.395,-1.075,-0.903,,,
44,MS7,7,oxy,-0.268,0.364,-0.761,-0.906,2.481,-1.492,-0.517,-0.395,-1.075,-0.903,,,
62.5,MS7,7,sin,-1.048,1.565,-0.854,-0.698,0.481,1.203,-0.748,-1.342,-1.075,-0.903,,,
65,MS7,7,pep,-0.665,-0.824,-1.133,1.412,-0.310,-0.344,-0.150,1.737,-1.075,1.100,,,
51,MS8,8,ngo,-0.793,0.743,-0.107,-0.855,-0.131,0.116,-0.838,-1.320,-1.075,-0.903,,,
52,MS8,8,pep,-0.665,-0.824,-1.133,1.463,-0.310,-0.344,-0.178,1.737,-1.075,1.100,,,
58,MS8,8,oxy,-0.268,0.364,-0.827,-0.939,2.481,-1.492,-0.466,-0.395,-1.075,-0.903,,,
68.5,MS8,8,sin,-1.048,1.565,-0.854,-0.740,0.481,1.203,-0.748,-1.342,-1.075,-0.903,,,
69,MS8,8,aug,0.981,-0.940,0.495,1.383,-0.491,2.160,-0.517,1.527,-1.075,1.100,,,
43,MS9,9,ngo,-0.793,0.743,0.094,-0.832,-0.131,0.116,-0.838,-1.320,-1.075,-0.903,,,
62.5,MS9,9,sin,-1.048,1.565,-0.854,-0.716,0.481,1.203,-0.748,-1.342,-1.075,-0.903,,,
65,MS9,9,pep,-0.665,-0.824,-1.133,1.433,-0.310,-0.344,-0.150,1.737,-1.075,1.100,,,
66,MS9,9,oxy,-0.268,0.364,-0.792,-0.921,2.481,-1.492,-0.466,-0.395,-1.075,-0.903,,,
45.5,MS10,10,tao,-0.905,1.400,-0.753,-0.769,-0.308,0.328,-0.510,-0.380,0.925,-0.903,,,
49,MS10,10,iri,1.084,0.174,1.961,-0.999,-0.739,0.682,0.083,0.250,0.925,-0.903,,,
57,MS10,10,ozo,-0.384,0.309,-0.697,-0.961,-0.729,0.682,-0.603,-0.230,0.925,-0.903,,,
61,MS10,10,mok,-0.240,-0.314,2.016,0.463,-1.260,-1.317,-0.678,1.366,0.925,1.100,,,
94,MS10,10,kwo,2.266,-1.347,0.267,0.971,-0.378,-0.459,-0.838,-0.322,0.925,1.100,,,
99,MS10,10,luc,0.621,-1.284,1.058,0.854,0.692,-0.607,-0.749,-0.377,0.925,1.100,,,
40.5,MS11,11,tao,-0.905,1.400,-0.846,-0.809,-0.308,0.328,-0.524,-0.380,0.925,-0.903,,,
51,MS11,11,iri,1.084,0.174,1.264,-1.000,-0.739,0.682,0.922,0.250,0.925,-0.903,,,
79,MS11,11,mok,-0.240,-0.314,1.797,0.486,-1.260,-1.317,-0.690,1.366,0.925,1.100,,,
85,MS11,11,kwo,2.266,-1.347,0.267,1.027,-0.378,-0.459,-0.838,-0.322,0.925,1.100,,,
96,MS11,11,ozo,-0.384,0.309,-0.284,-0.976,-0.729,0.682,0.758,-0.230,0.925,-0.903,,,
98,MS11,11,luc,0.621,-1.284,1.058,0.925,0.692,-0.607,-0.749,-0.377,0.925,1.100,,,
45.5,MS12,12,tao,-0.905,1.400,-0.753,-0.764,-0.308,0.328,-0.510,-0.380,0.925,-0.903,,,
49,MS12,12,iri,1.084,0.174,1.961,-0.997,-0.739,0.682,0.014,0.250,0.925,-0.903,,,
57,MS12,12,ozo,-0.384,0.309,-0.697,-0.958,-0.729,0.682,-0.603,-0.230,0.925,-0.903,,,
61,MS12,12,mok,-0.240,-0.314,2.016,0.462,-1.260,-1.317,-0.676,1.366,0.925,1.100,,,
94,MS12,12,kwo,2.266,-1.347,0.267,0.964,-0.378,-0.459,-0.838,-0.322,0.925,1.100,,,
101,MS12,12,luc,0.621,-1.284,1.058,0.844,0.692,-0.607,-0.749,-0.377,0.925,1.100,,,
62,MS13,13,iri,1.084,0.174,1.264,-1.001,-0.739,0.682,0.177,0.250,0.925,-0.903,,,
67.5,MS13,13,tao,-0.905,1.400,-0.779,-0.788,-0.308,0.328,-0.512,-0.380,0.925,-0.903,,,
70,MS13,13,ozo,-0.384,0.309,-0.506,-0.971,-0.729,0.682,-0.399,-0.230,0.925,-0.903,,,
72,MS13,13,kwo,2.266,-1.347,0.267,0.998,-0.378,-0.459,-0.838,-0.322,0.925,1.100,,,
73,MS13,13,mok,-0.240,-0.314,1.797,0.470,-1.260,-1.317,-0.680,1.366,0.925,1.100,,,
98,MS13,13,luc,0.621,-1.284,1.058,0.888,0.692,-0.607,-0.749,-0.377,0.925,1.100,,,
61,MS14,14,mok,-0.240,-0.314,1.797,0.527,-1.260,-1.317,-0.664,1.366,0.925,1.100,,,
64.5,MS14,14,tao,-0.905,1.400,-0.846,-0.840,-0.308,0.328,0.077,-0.380,0.925,-0.903,,,
66,MS14,14,iri,1.084,0.174,1.342,-0.987,-0.739,0.682,1.120,0.250,0.925,-0.903,,,
