Body size index,Age,Age,Early-mid gestation PreGC,PreGC throughout gestation,Early gestation PreGC,Mid gestation PreGC,Late gestation PreGC,Early-mid gestation FA,FA throughout gestation,nPostnatal FA,Maternal protectiveness,Maternal rejectiveness,nSocial play (% of time),Sex of the offspring,PostGC,Year of birth,Infant ID
1398.073201,527,1.334,-0.110,-0.476,-0.231,0.027,-0.757,1.008,0.890,0.277,1.160,-0.135,0.190,0.967,-0.891,-0.367,gar
1428.468382,575.4285714,1.623,-0.110,-0.476,-0.231,0.027,-0.757,1.008,0.890,0.522,1.160,-0.135,0.178,0.967,-0.891,-0.367,gar
1639.530344,612,1.842,-0.110,-0.476,-0.231,0.027,-0.757,1.008,0.890,0.620,1.160,-0.135,0.227,0.967,-0.891,-0.367,gar
451.5884405,86.08333333,-1.296,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,-0.653,-0.114,-1.664,-1.938,0.967,-0.061,-0.367,hop
434.421827,111,-1.148,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,-0.797,-0.114,-1.664,-1.133,0.967,-0.061,-0.367,hop
604.8233449,142,-0.963,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,-0.869,-0.114,-1.664,0.003,0.967,-0.061,-0.367,hop
621.9241814,167,-0.814,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,-0.841,-0.114,-1.664,0.592,0.967,-0.061,-0.367,hop
611.1744139,221.5454545,-0.488,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,-0.702,-0.114,-1.664,0.788,0.967,-0.061,-0.367,hop
866.4831349,236,-0.402,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,-0.632,-0.114,-1.664,0.517,0.967,-0.061,-0.367,hop
764.7389153,295.6666667,-0.046,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,-0.514,-0.114,-1.664,0.300,0.967,-0.061,-0.367,hop
969.4619389,333,0.177,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,-0.601,-0.114,-1.664,0.118,0.967,-0.061,-0.367,hop
942.3212355,368.6666667,0.390,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,-0.498,-0.114,-1.664,0.121,0.967,-0.061,-0.367,hop
1258.604242,400.8,0.581,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,-0.381,-0.114,-1.664,0.015,0.967,-0.061,-0.367,hop
1096.532512,431.4,0.764,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,-0.274,-0.114,-1.664,-0.156,0.967,-0.061,-0.367,hop
1046.978464,453.5,0.896,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,-0.153,-0.114,-1.664,-0.254,0.967,-0.061,-0.367,hop
1188.010961,485.5,1.087,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,0.024,-0.114,-1.664,-0.303,0.967,-0.061,-0.367,hop
1261.679413,514,1.257,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,0.192,-0.114,-1.664,-0.199,0.967,-0.061,-0.367,hop
1514.640548,549.8,1.470,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,0.412,-0.114,-1.664,-0.155,0.967,-0.061,-0.367,hop
1698.208682,586,1.686,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,0.559,-0.114,-1.664,-0.100,0.967,-0.061,-0.367,hop
1705.634397,608.6666667,1.822,-0.386,0.138,-0.709,0.002,0.804,1.008,0.890,0.620,-0.114,-1.664,-0.215,0.967,-0.061,-0.367,hop
359.6791202,59.5,-1.455,1.895,1.619,1.021,1.918,0.995,-0.802,-0.923,-1.112,-0.308,0.787,-1.747,0.967,2.907,-0.367,iri
456.6989046,87,-1.291,1.895,1.619,1.021,1.918,0.995,-0.802,-0.923,-1.092,-0.308,0.787,-0.803,0.967,2.907,-0.367,iri
442.0708312,110,-1.154,1.895,1.619,1.021,1.918,0.995,-0.802,-0.923,-1.005,-0.308,0.787,-0.341,0.967,2.907,-0.367,iri
611.4206797,163.8,-0.833,1.895,1.619,1.021,1.918,0.995,-0.802,-0.923,-0.770,-0.308,0.787,-0.346,0.967,2.907,-0.367,iri
621.3738349,179,-0.742,1.895,1.619,1.021,1.918,0.995,-0.802,-0.923,-0.667,-0.308,0.787,-0.448,0.967,2.907,-0.367,iri
426.3005731,239.2,-0.383,1.895,1.619,1.021,1.918,0.995,-0.802,-0.923,-0.511,-0.308,0.787,-0.601,0.967,2.907,-0.367,iri
705.4259242,276,-0.163,1.895,1.619,1.021,1.918,0.995,-0.802,-0.923,-0.617,-0.308,0.787,-0.372,0.967,2.907,-0.367,iri
912.6688754,312.7142857,0.056,1.895,1.619,1.021,1.918,0.995,-0.802,-0.923,-0.488,-0.308,0.787,-0.319,0.967,2.907,-0.367,iri
1126.283033,342.5,0.234,1.895,1.619,1.021,1.918,0.995,-0.802,-0.923,-0.360,-0.308,0.787,-0.270,0.967,2.907,-0.367,iri
1059.892783,372,0.410,1.895,1.619,1.021,1.918,0.995,-0.802,-0.923,-0.245,-0.308,0.787,-0.256,0.967,2.907,-0.367,iri
926.4654645,400.3,0.578,1.895,1.619,1.021,1.918,0.995,-0.802,-0.923,-0.079,-0.308,0.787,-0.367,0.967,2.907,-0.367,iri
1267.634124,429.5,0.753,1.895,1.619,1.021,1.918,0.995,-0.802,-0.923,0.103,-0.308,0.787,-0.269,0.967,2.907,-0.367,iri
1601.045908,456,0.911,1.895,1.619,1.021,1.918,0.995,-0.802,-0.923,0.274,-0.308,0.787,-0.037,0.967,2.907,-0.367,iri
1462.508847,492,1.126,1.895,1.619,1.021,1.918,0.995,-0.802,-0.923,0.515,-0.308,0.787,0.098,0.967,2.907,-0.367,iri
1563.241183,524.6666667,1.320,1.895,1.619,1.021,1.918,0.995,-0.802,-0.923,0.662,-0.308,0.787,0.269,0.967,2.907,-0.367,iri
1676.23007,552.8888889,1.489,1.895,1.619,1.021,1.918,0.995,-0.802,-0.923,0.738,-0.308,0.787,0.456,0.967,2.907,-0.367,iri
203.6532439,45,-1.542,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,-1.242,-0.189,0.651,-1.644,-1.029,-0.350,-0.367,kim
396.6713624,72.66666667,-1.376,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,-1.154,-0.189,0.651,-0.166,-1.029,-0.350,-0.367,kim
330.7257487,96,-1.237,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,-1.041,-0.189,0.651,-0.656,-1.029,-0.350,-0.367,kim
502.2675377,147.2857143,-0.931,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,-0.779,-0.189,0.651,-0.262,-1.029,-0.350,-0.367,kim
611.0649028,163,-0.837,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,-0.657,-0.189,0.651,-0.299,-1.029,-0.350,-0.367,kim
647.0238125,202,-0.605,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,-0.475,-0.189,0.651,-0.466,-1.029,-0.350,-0.367,kim
599.2340224,223.125,-0.479,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,-0.493,-0.189,0.651,-0.340,-1.029,-0.350,-0.367,kim
777.8734518,260,-0.259,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,-0.609,-0.189,0.651,-0.139,-1.029,-0.350,-0.367,kim
845.824016,297,-0.038,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,-0.473,-0.189,0.651,0.820,-1.029,-0.350,-0.367,kim
941.7311241,326,0.135,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,-0.345,-0.189,0.651,0.860,-1.029,-0.350,-0.367,kim
1004.58285,355.6,0.312,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,-0.222,-0.189,0.651,1.070,-1.029,-0.350,-0.367,kim
1127.288585,384,0.481,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,-0.051,-0.189,0.651,1.311,-1.029,-0.350,-0.367,kim
1081.281715,413.8333333,0.659,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,0.136,-0.189,0.651,1.639,-1.029,-0.350,-0.367,kim
1270.978062,440.625,0.819,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,0.319,-0.189,0.651,1.792,-1.029,-0.350,-0.367,kim
1284.148969,476.4,1.032,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,0.558,-0.189,0.651,1.779,-1.029,-0.350,-0.367,kim
1315.653719,510.6363636,1.237,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,0.713,-0.189,0.651,2.277,-1.029,-0.350,-0.367,kim
1313.01885,534.6666667,1.380,0.111,-0.002,-0.316,0.408,-0.077,-1.109,-1.352,0.783,-0.189,0.651,2.449,-1.029,-0.350,-0.367,kim
368.3255617,87.76923077,-1.286,3.276,2.351,3.441,2.012,0.844,-1.926,-1.079,2.018,-0.013,-0.344,-2.134,0.967,-0.216,2.716,kwo
462.7112468,123,-1.076,3.276,2.351,3.441,2.012,0.844,-1.926,-1.079,2.406,-0.013,-0.344,-1.886,0.967,-0.216,2.716,kwo
710.4188027,172.3636364,-0.782,3.276,2.351,3.441,2.012,0.844,-1.926,-1.079,2.630,-0.013,-0.344,-0.810,0.967,-0.216,2.716,kwo
647.0977898,208,-0.569,3.276,2.351,3.441,2.012,0.844,-1.926,-1.079,2.600,-0.013,-0.344,-0.542,0.967,-0.216,2.716,kwo
435.726606,96.71428571,-1.233,1.355,2.404,-0.089,3.378,2.678,-1.879,-1.127,1.955,0.858,-0.490,-1.853,0.967,1.565,2.716,luc
485.016744,130,-1.034,1.355,2.404,-0.089,3.378,2.678,-1.879,-1.127,2.325,0.858,-0.490,-1.552,0.967,1.565,2.716,luc
678.3261067,180.4,-0.734,1.355,2.404,-0.089,3.378,2.678,-1.879,-1.127,2.562,0.858,-0.490,-1.080,0.967,1.565,2.716,luc
732.3922325,216.5555556,-0.518,1.355,2.404,-0.089,3.378,2.678,-1.879,-1.127,2.544,0.858,-0.490,-0.814,0.967,1.565,2.716,luc
503.2923998,109.5,-1.157,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,-0.580,-1.854,-1.541,0.449,0.967,-1.051,-0.367,mii
579.432351,137.5,-0.990,-2.139,-2.257,-2.027,-1.477,-1.852,1.499,1.854,-0.721,-1.854,-1.541,1.865,0.967,-1.051,-0.367,mii
