Body size index,Age,Age,Early-mid gestation PreGC,PreGC throughout gestation,Early gestation PreGC,Mid gestation PreGC,Late gestation PreGC,Early-mid gestation FA,FA throughout gestation,nPostnatal FA,Maternal protectiveness,Maternal rejectiveness,nSocial play (% of time),Sex of the offspring,PostGC,Year of birth,Infant ID
972.4049529,435,0.785,0.181,0.213,0.279,0.046,0.266,-0.702,-0.783,0.095,-0.300,0.786,0.007,0.967,0.065,-0.367,ozo
1449.442136,460.5,0.938,0.181,0.213,0.279,0.046,0.266,-0.702,-0.783,0.265,-0.300,0.786,0.164,0.967,0.065,-0.367,ozo
1446.936931,497,1.155,0.181,0.213,0.279,0.046,0.266,-0.702,-0.783,0.504,-0.300,0.786,0.275,0.967,0.065,-0.367,ozo
1680.34118,534,1.376,0.181,0.213,0.279,0.046,0.266,-0.702,-0.783,0.664,-0.300,0.786,0.315,0.967,0.065,-0.367,ozo
1571.350159,553.5,1.493,0.181,0.213,0.279,0.046,0.266,-0.702,-0.783,0.727,-0.300,0.786,0.294,0.967,0.065,-0.367,ozo
265.1947865,46.07692308,-1.535,-0.147,0.606,-0.826,0.435,1.450,-1.540,-0.718,2.454,0.042,-0.230,-2.087,-1.029,-1.382,2.716,pep
420.1965888,75,-1.363,-0.147,0.606,-0.826,0.435,1.450,-1.540,-0.718,2.702,0.042,-0.230,-1.736,-1.029,-1.382,2.716,pep
576.6665856,110.125,-1.153,-0.147,0.606,-0.826,0.435,1.450,-1.540,-0.718,2.975,0.042,-0.230,-0.193,-1.029,-1.382,2.716,pep
645.591654,143.75,-0.952,-0.147,0.606,-0.826,0.435,1.450,-1.540,-0.718,2.944,0.042,-0.230,0.480,-1.029,-1.382,2.716,pep
734.5068423,167.4,-0.811,-0.147,0.606,-0.826,0.435,1.450,-1.540,-0.718,2.870,0.042,-0.230,0.666,-1.029,-1.382,2.716,pep
400.4053624,34.5,-1.604,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,-0.612,0.686,1.303,-2.181,-1.029,-0.636,-0.367,sin
403.6446636,65.375,-1.420,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,-0.754,0.686,1.303,-2.115,-1.029,-0.636,-0.367,sin
345.7435138,94.25,-1.248,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,-0.923,0.686,1.303,-0.720,-1.029,-0.636,-0.367,sin
590.107229,113.5,-1.133,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,-0.963,0.686,1.303,0.108,-1.029,-0.636,-0.367,sin
625.8223331,146.5,-0.936,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,-0.908,0.686,1.303,0.077,-1.029,-0.636,-0.367,sin
731.7647544,199.1,-0.622,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,-0.742,0.686,1.303,0.523,-1.029,-0.636,-0.367,sin
668.6704084,211.5,-0.548,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,-0.669,0.686,1.303,0.479,-1.029,-0.636,-0.367,sin
791.106935,252.5,-0.303,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,-0.512,0.686,1.303,0.324,-1.029,-0.636,-0.367,sin
782.9191438,282.8333333,-0.122,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,-0.549,0.686,1.303,0.179,-1.029,-0.636,-0.367,sin
874.7445335,310.5,0.043,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,-0.617,0.686,1.303,0.325,-1.029,-0.636,-0.367,sin
912.7213988,346.6111111,0.258,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,-0.506,0.686,1.303,0.290,-1.029,-0.636,-0.367,sin
969.9967568,380.9,0.463,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,-0.374,0.686,1.303,0.007,-1.029,-0.636,-0.367,sin
944.9715426,409.5,0.633,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,-0.263,0.686,1.303,-0.182,-1.029,-0.636,-0.367,sin
1017.079492,441.0555556,0.822,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,-0.086,0.686,1.303,-0.301,-1.029,-0.636,-0.367,sin
1080.152129,457.5,0.920,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,0.011,0.686,1.303,-0.319,-1.029,-0.636,-0.367,sin
1140.492108,491.5,1.123,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,0.218,0.686,1.303,-0.301,-1.029,-0.636,-0.367,sin
1215.177424,526.5,1.331,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,0.440,0.686,1.303,-0.158,-1.029,-0.636,-0.367,sin
1361.049072,563.5,1.552,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,0.596,0.686,1.303,-0.013,-1.029,-0.636,-0.367,sin
1497.976528,579.8333333,1.650,-0.594,0.425,0.107,-1.102,1.157,0.227,0.179,0.646,0.686,1.303,0.174,-1.029,-0.636,-0.367,sin
316.0552773,32,-1.619,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,-0.612,0.043,0.436,-2.181,0.967,-0.352,-0.367,tao
355.622085,61.5,-1.443,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,-0.760,0.043,0.436,-1.944,0.967,-0.352,-0.367,tao
414.062131,86.61111111,-1.293,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,-0.914,0.043,0.436,-1.348,0.967,-0.352,-0.367,tao
437.7234652,118.3,-1.104,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,-0.965,0.043,0.436,0.489,0.967,-0.352,-0.367,tao
699.6584194,193.8333333,-0.653,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,-0.756,0.043,0.436,0.391,0.967,-0.352,-0.367,tao
666.1585504,210.5,-0.554,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,-0.658,0.043,0.436,0.196,0.967,-0.352,-0.367,tao
811.0889004,249.5,-0.321,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,-0.511,0.043,0.436,0.254,0.967,-0.352,-0.367,tao
974.3288711,274.5,-0.172,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,-0.533,0.043,0.436,0.474,0.967,-0.352,-0.367,tao
768.2686889,307.5,0.025,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,-0.617,0.043,0.436,0.164,0.967,-0.352,-0.367,tao
948.7565683,344.2142857,0.244,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,-0.505,0.043,0.436,0.027,0.967,-0.352,-0.367,tao
1017.005774,376.75,0.438,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,-0.375,0.043,0.436,0.197,0.967,-0.352,-0.367,tao
1164.926194,404.25,0.602,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,-0.274,0.043,0.436,0.055,0.967,-0.352,-0.367,tao
1250.409237,434,0.780,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,-0.106,0.043,0.436,-0.078,0.967,-0.352,-0.367,tao
1334.930154,462.3,0.948,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,0.053,0.043,0.436,-0.012,0.967,-0.352,-0.367,tao
1369.733427,488.5,1.105,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,0.223,0.043,0.436,-0.038,0.967,-0.352,-0.367,tao
1320.694317,523.7857143,1.315,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,0.446,0.043,0.436,-0.061,0.967,-0.352,-0.367,tao
1505.35247,553.4090909,1.492,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,0.575,0.043,0.436,-0.107,0.967,-0.352,-0.367,tao
1658.682643,582.6111111,1.666,-0.427,-0.392,0.805,-1.231,-0.203,0.105,0.075,0.664,0.043,0.436,-0.097,0.967,-0.352,-0.367,tao
398.2473298,75,-1.363,-0.462,-0.823,-0.566,-0.217,-1.021,0.877,0.737,-0.641,-0.034,0.312,-1.041,-1.029,-0.328,-0.367,yin
402.5315689,112.0434783,-1.141,-0.462,-0.823,-0.566,-0.217,-1.021,0.877,0.737,-0.852,-0.034,0.312,-1.027,-1.029,-0.328,-0.367,yin
590.8724447,145.5,-0.942,-0.462,-0.823,-0.566,-0.217,-1.021,0.877,0.737,-0.879,-0.034,0.312,-1.185,-1.029,-0.328,-0.367,yin
579.9406568,162,-0.843,-0.462,-0.823,-0.566,-0.217,-1.021,0.877,0.737,-0.860,-0.034,0.312,-1.076,-1.029,-0.328,-0.367,yin
749.606432,216.1666667,-0.520,-0.462,-0.823,-0.566,-0.217,-1.021,0.877,0.737,-0.718,-0.034,0.312,-0.737,-1.029,-0.328,-0.367,yin
606.3606397,229,-0.444,-0.462,-0.823,-0.566,-0.217,-1.021,0.877,0.737,-0.652,-0.034,0.312,-0.916,-1.029,-0.328,-0.367,yin
702.5698312,298.8,-0.027,-0.462,-0.823,-0.566,-0.217,-1.021,0.877,0.737,-0.539,-0.034,0.312,-0.820,-1.029,-0.328,-0.367,yin
670.3953835,338,0.207,-0.462,-0.823,-0.566,-0.217,-1.021,0.877,0.737,-0.607,-0.034,0.312,-0.461,-1.029,-0.328,-0.367,yin
809.1320696,363,0.356,-0.462,-0.823,-0.566,-0.217,-1.021,0.877,0.737,-0.507,-0.034,0.312,-0.177,-1.029,-0.328,-0.367,yin
1016.461272,398.3333333,0.567,-0.462,-0.823,-0.566,-0.217,-1.021,0.877,0.737,-0.376,-0.034,0.312,0.560,-1.029,-0.328,-0.367,yin
1009.940547,426.4,0.734,-0.462,-0.823,-0.566,-0.217,-1.021,0.877,0.737,-0.274,-0.034,0.312,0.632,-1.029,-0.328,-0.367,yin
1174.300395,475,1.024,-0.462,-0.823,-0.566,-0.217,-1.021,0.877,0.737,-0.005,-0.034,0.312,0.516,-1.029,-0.328,-0.367,yin
1422.604376,522,1.305,-0.462,-0.823,-0.566,-0.217,-1.021,0.877,0.737,0.282,-0.034,0.312,0.773,-1.029,-0.328,-0.367,yin
1447.649175,570,1.591,-0.462,-0.823,-0.566,-0.217,-1.021,0.877,0.737,0.528,-0.034,0.312,0.900,-1.029,-0.328,-0.367,yin
1396.841921,608,1.818,-0.462,-0.823,-0.566,-0.217,-1.021,0.877,0.737,0.627,-0.034,0.312,0.877,-1.029,-0.328,-0.367,yin
